user_name,bank_name,bank_type,platform,timestamp,text,category,sentiment_score,sentiment,likes,retweets,user_followers,is_reply,in_reply_to_bank_response,response_time_minutes,location
Manish,Axis Bank,Private,Twitter,2024-09-02T13:54:18,Axis Bank offered helpful service at the branch and online,service,-0.194,negative,1,0,7640,FALSE,TRUE,70,"Delhi, India"
Keerthi,Bank of Baroda,Public,Twitter,2025-11-02T21:48:45,Can't complete payment on Bank of Baroda. UPI timeout happened,failure,-0.439,negative,6,0,15511,TRUE,TRUE,5,"Hyderabad, India"
Amit,ICICI Bank,Private,Twitter,2025-10-15T04:53:45,Claimed an offer from ICICI Bank and it worked seamlessly #DigitalBanking,promotion,0.702,positive,3,0,18699,FALSE,TRUE,120,"Kolkata, India"
Vivaan,Axis Bank,Private,Twitter,2025-11-01T19:30:08,Axis Bank customer service resolved my issue quickly (Axis Mobile),service,0.104,positive,4,1,122,FALSE,FALSE,,"Chennai, India"
Kavya,SBI,Public,Twitter,2025-02-08T01:47:13,Loving the cashback offer on SBI app today! #DigitalBanking,promotion,0.387,positive,1,1,3710,FALSE,FALSE,,"Delhi, India"
Deepak,HDFC Bank,Private,Twitter,2025-01-13T08:04:28,Transaction failed on HDFC Bank UPI — money debited but not credited #banking,failure,0.418,positive,2,0,1323,FALSE,FALSE,,
Harini,SBI,Public,Twitter,2025-03-03T17:35:53,"UPI failed on SBI, very frustrating",failure,-0.528,negative,0,0,7963,TRUE,FALSE,,"Hyderabad, India"
Rahul,SBI,Public,Twitter,2025-05-09T07:06:52,"SBI promo gave instant discount, impressive #Cashback",promotion,0.36,positive,2,1,13392,FALSE,TRUE,73,"Hyderabad, India"
Ananya,HDFC Bank,Private,Twitter,2025-02-19T03:01:59,HDFC Bank customer service resolved my issue quickly,service,-0.367,negative,3,0,14859,FALSE,FALSE,,"Delhi, India"
Sowmya,SBI,Public,Twitter,2024-05-30T22:13:15,Someone tried to scam me pretending to be SBI customer care #UPI,fraud,-0.006,neutral,1,2,10527,FALSE,TRUE,140,
Keerthi,Axis Bank,Private,Twitter,2024-07-29T04:07:12,Transaction failed on Axis Bank UPI — money debited but not credited,failure,-0.207,negative,1,0,8623,FALSE,FALSE,,"Chennai, India"
Divya,SBI,Public,Twitter,2025-01-30T02:59:09,SBI transactions are slower during peak hours,speed,-0.252,negative,0,0,10895,FALSE,FALSE,,"Bengaluru, India"
Meera,SBI,Public,Twitter,2025-08-19T03:04:54,SBI offered helpful service at the branch and online #banking,service,-0.39,negative,3,0,6737,TRUE,FALSE,,"Kolkata, India"
Divya,HDFC Bank,Private,Twitter,2025-09-24T02:28:00,Delay in transaction confirmation on HDFC Bank #BankDown,speed,-0.7,negative,1,0,4100,FALSE,FALSE,,"Hyderabad, India"
Keerthi,Axis Bank,Private,Twitter,2025-03-13T15:59:20,Can't complete payment on Axis Bank. UPI timeout happened,failure,-0.19,negative,2,0,12773,TRUE,TRUE,100,"Chennai, India"
Ishita,Bank of Baroda,Public,Twitter,2024-12-04T18:41:35,Chatbot couldn't help me — Bank of Baroda needs better support #Cashback,service,-0.511,negative,2,1,8648,TRUE,FALSE,,"Chennai, India"
Manish,HDFC Bank,Private,Twitter,2025-08-27T10:00:47,Transaction failed on HDFC Bank UPI — money debited but not credited,failure,-0.64,negative,1,2,8283,FALSE,TRUE,68,"Pune, India"
Lakshmi,PNB,Public,Twitter,2025-09-29T15:42:04,PNB app crashed while transferring funds,failure,-0.078,neutral,0,0,5516,TRUE,TRUE,36,"Mumbai, India"
Sowmya,HDFC Bank,Private,Twitter,2024-10-08T12:31:13,Alert: fraudulent transaction noticed on my HDFC Bank account,fraud,-0.601,negative,2,1,4468,TRUE,FALSE,,"Mumbai, India"
Sowmya,Bank of Baroda,Public,Twitter,2024-12-12T00:44:31,Bank of Baroda app crashed while transferring funds,failure,-0.472,negative,2,1,738,FALSE,FALSE,,"Bengaluru, India"
Sneha,HDFC Bank,Private,Twitter,2025-07-07T04:29:43,HDFC Bank customer service resolved my issue quickly,service,-0.903,negative,2,1,15964,FALSE,TRUE,22,"Bengaluru, India"
Sai,PNB,Public,Twitter,2024-11-19T14:33:55,Delay in transaction confirmation on PNB,speed,-0.515,negative,2,1,16475,FALSE,TRUE,56,"Chennai, India"
Radhika,Axis Bank,Private,Twitter,2025-08-15T04:17:22,SBI/Banks: Axis Bank seems inconsistent with speed,speed,-0.462,negative,2,0,16652,FALSE,TRUE,33,"Kolkata, India"
Manish,Bank of Baroda,Public,Twitter,2025-08-16T02:31:34,"Bank of Baroda promo gave instant discount, impressive #UPI",promotion,0.598,positive,4,2,18325,FALSE,TRUE,98,"Hyderabad, India"
Siddharth,HDFC Bank,Private,Twitter,2024-12-01T19:51:14,Long IVR wait time for HDFC Bank. Very annoying,service,0.301,positive,2,0,14238,TRUE,TRUE,21,"Mumbai, India"
Anjali,ICICI Bank,Private,Twitter,2025-09-27T19:38:55,ICICI Bank offered helpful service at the branch and online,service,0.091,neutral,1,1,11045,FALSE,FALSE,,"Delhi, India"
Diya,SBI,Public,Twitter,2024-09-20T03:24:16,SBI/Banks: SBI seems inconsistent with speed,speed,-0.193,negative,3,0,5072,TRUE,FALSE,,"Hyderabad, India"
Harini,PNB,Public,Twitter,2024-09-24T08:35:07,Someone tried to scam me pretending to be PNB customer care #DigitalBanking,fraud,-1,negative,0,0,3267,FALSE,FALSE,,"Pune, India"
Ishita,HDFC Bank,Private,Twitter,2025-11-07T14:21:06,SBI/Banks: HDFC Bank seems inconsistent with speed #Cashback,speed,-0.833,negative,1,0,10581,FALSE,FALSE,,"Hyderabad, India"
Keerthi,SBI,Public,Twitter,2025-05-27T22:02:44,Chatbot couldn't help me — SBI needs better support #DigitalBanking,service,-0.921,negative,4,0,13805,FALSE,FALSE,,"Delhi, India"
Mahesh,Axis Bank,Private,Twitter,2024-09-05T01:23:26,SBI/Banks: Axis Bank seems inconsistent with speed,speed,-0.439,negative,1,2,15455,FALSE,FALSE,,"Bengaluru, India"
Siddharth,Bank of Baroda,Public,Twitter,2024-06-05T19:15:15,"UPI failed on Bank of Baroda, very frustrating",failure,-0.22,negative,1,0,6480,FALSE,TRUE,18,"Hyderabad, India"
Aditi,HDFC Bank,Private,Twitter,2024-10-21T14:32:32,HDFC Bank app shows error during checkout,failure,-1,negative,1,3,10070,TRUE,TRUE,249,"Pune, India"
Keerthi,Bank of Baroda,Public,Twitter,2025-04-17T13:59:00,"UPI failed on Bank of Baroda, very frustrating",failure,0.084,neutral,1,0,9190,FALSE,FALSE,,"Kolkata, India"
Krishna,SBI,Public,Twitter,2025-07-02T11:52:58,Transaction failed on SBI UPI — money debited but not credited (YONO),failure,-0.072,neutral,1,0,12650,FALSE,FALSE,,"Chennai, India"
Manish,Bank of Baroda,Public,Twitter,2024-09-06T18:37:34,Loving the cashback offer on Bank of Baroda app today!,promotion,-0.046,neutral,4,1,8501,FALSE,TRUE,319,"Delhi, India"
Vivaan,HDFC Bank,Private,Twitter,2024-12-28T09:15:30,HDFC Bank app showing unknown beneficiary - possible fraud,fraud,-1,negative,18,0,15448,TRUE,TRUE,14,"Delhi, India"
Nisha,HDFC Bank,Private,Twitter,2024-08-11T07:40:00,HDFC Bank app crashed while transferring funds #UPI,failure,-0.156,negative,0,0,5704,FALSE,FALSE,,"Delhi, India"
Pranav,HDFC Bank,Private,Twitter,2025-04-21T10:18:38,Reached out to HDFC Bank support on Twitter but no reply,service,-0.739,negative,3,1,19343,FALSE,TRUE,3,"Pune, India"
Keerthi,PNB,Public,Twitter,2024-10-03T10:29:12,PNB's new promo is tempting — good job,promotion,0.46,positive,5,2,4174,FALSE,TRUE,704,
Divya,HDFC Bank,Private,Twitter,2025-03-25T09:22:49,"UPI failed on HDFC Bank, very frustrating (HDFC app)",failure,0.048,neutral,0,0,2476,FALSE,TRUE,23,"Bengaluru, India"
Karan,HDFC Bank,Private,Twitter,2024-10-18T02:02:25,Delay in transaction confirmation on HDFC Bank,speed,0.083,neutral,1,1,2601,TRUE,FALSE,,"Pune, India"
Amit,HDFC Bank,Private,Twitter,2025-06-11T01:35:50,Loving the cashback offer on HDFC Bank app today!,promotion,0.848,positive,3,2,6563,FALSE,TRUE,132,"Hyderabad, India"
Karan,Bank of Baroda,Public,Twitter,2024-10-02T12:03:32,Bank of Baroda payment completed instantly — smooth!,speed,0.114,positive,3,1,4391,FALSE,FALSE,,"Kolkata, India"
Krishna,HDFC Bank,Private,Twitter,2024-12-27T06:02:53,Chatbot couldn't help me — HDFC Bank needs better support,service,-0.437,negative,4,0,1110,FALSE,TRUE,342,"Chennai, India"
Amit,Axis Bank,Private,Twitter,2025-03-16T19:56:26,Loving the cashback offer on Axis Bank app today!,promotion,0.598,positive,0,0,12747,FALSE,FALSE,,"Delhi, India"
Suresh,PNB,Public,Twitter,2024-12-09T07:02:42,Chatbot couldn't help me — PNB needs better support,service,-0.632,negative,2,0,15216,FALSE,FALSE,,"Chennai, India"
Manish,Bank of Baroda,Public,Twitter,2024-10-19T04:22:45,Bank of Baroda app crashed while transferring funds,failure,0.384,positive,0,0,788,FALSE,FALSE,,
